Ctgry,Itm,Srvng_unit,Srvng_mag,Clrs,Clrs_frm_Ft,Ttl_Ft,Strtd_Ft,Trns_Ft,Chlstrl,Sdm,Crbhydrts,Dtry_Fbr,Sgrs,Prtn
Breakfast,Cinnamon Melts,g,114.0,460,170,19.0,9.0,0.0,1.4999999999999999e-92,3.7e-91,66,3,32,6
Breakfast,Fruit & Maple Oatmeal,g,251.0,290,35,4.0,1.5,0.0,5.000000000000002e-93,1.6000000000000005e-91,58,5,32,5
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,g,251.0,260,40,4.0,1.5,0.0,5.000000000000002e-93,1.15e-91,49,5,18,5
Beef & Pork,Big Mac,g,211.0,530,240,27.0,10.0,1.0,8.500000000000002e-92,9.599999999999999e-91,47,3,9,24
Beef & Pork,Quarter Pounder with Cheese,g,202.0,520,240,26.0,12.0,1.5,9.500000000000001e-92,1.0999999999999997e-90,41,3,10,30
Beef & Pork,Quarter Pounder with Bacon & Cheese,g,227.0,600,260,29.0,13.0,1.5,1.0499999999999998e-91,1.44e-90,48,3,12,37
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,g,235.0,610,280,31.0,13.0,1.5,1.0499999999999998e-91,1.1799999999999998e-90,46,3,10,37
Beef & Pork,Quarter Pounder Deluxe,g,244.0,540,250,27.0,11.0,1.5,8.500000000000002e-92,9.599999999999999e-91,45,3,9,29
Beef & Pork,Double Quarter Pounder with Cheese,g,283.0,750,380,43.0,19.0,2.5,1.6000000000000005e-91,1.2800000000000004e-90,42,3,10,48
Beef & Pork,Hamburger,g,98.0,240,70,8.0,3.0,0.0,2.9999999999999998e-92,4.7999999999999997e-91,32,1,6,12
Beef & Pork,Cheeseburger,g,113.0,290,100,11.0,5.0,0.5,4.5e-92,6.800000000000002e-91,33,2,7,15
Beef & Pork,Double Cheeseburger,g,161.0,430,190,21.0,10.0,1.0,9e-92,1.0399999999999998e-90,35,2,7,24
Beef & Pork,Bacon Clubhouse Burger,g,270.0,720,360,40.0,15.0,1.5,1.15e-91,1.4699999999999993e-90,51,4,14,39
Beef & Pork,McDouble,g,147.0,380,150,17.0,8.0,1.0,7.499999999999996e-92,8.399999999999999e-91,34,2,7,22
Beef & Pork,Bacon McDouble,g,161.0,440,200,22.0,10.0,1.0,9e-92,1.1100000000000003e-90,35,2,7,27
Beef & Pork,Daily Double,g,190.0,430,200,22.0,9.0,1.0,8.000000000000003e-92,7.600000000000001e-91,34,2,7,22
Beef & Pork,Jalapeño Double,g,159.0,430,210,23.0,9.0,1.0,8.000000000000003e-92,1.0300000000000001e-90,35,2,6,22
Beef & Pork,McRib,g,208.0,500,240,26.0,10.0,0.0,7.000000000000001e-92,9.800000000000002e-91,44,3,11,22
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,g,213.0,510,200,22.0,3.5,0.0,4.5e-92,9.900000000000003e-91,55,3,10,24
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,g,200.0,350,80,9.0,2.0,0.0,6.499999999999999e-92,8.199999999999999e-91,42,3,8,28
Chicken & Fish,Premium Crispy Chicken Club Sandwich,g,249.0,670,300,33.0,9.0,0.0,8.500000000000002e-92,1.4099999999999996e-90,58,3,11,36
Chicken & Fish,Premium Grilled Chicken Club Sandwich,g,235.0,510,180,20.0,7.0,0.0,1.0499999999999998e-91,1.2500000000000005e-90,44,3,9,40
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,g,230.0,610,250,28.0,6.0,0.0,7.000000000000001e-92,1.3999999999999993e-90,57,3,11,32
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,g,217.0,450,130,15.0,4.5,0.0,9e-92,1.2300000000000002e-90,43,3,9,36
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,g,284.0,750,340,38.0,10.0,0.5,9e-92,1.7199999999999993e-90,65,4,16,36
